All Causes,,,,,,,
,Age 0–16,Age 17–24,Age 25–44,Age 45–64,Age ≥65,,
Winter,262.8,170.6,384.3,3059.6,16356.6,,
Summer,288.5,180,393.3,2858,12572.6,,
